情迷大话王　　　　　　　　	real: 6.0　　	predict: 5.68 	accuracy: 97.27%
莎莎嘉嘉站起来　　　　　　	real: 7.1　　	predict: 7.5  	accuracy: 97.24%
全职大盗　　　　　　　　　	real: 5.9　　	predict: 6.23 	accuracy: 97.24%
在那河畔青草青　　　　　　	real: 7.0　　	predict: 6.62 	accuracy: 97.24%
拳王　　　　　　　　　　　	real: 7.1　　	predict: 6.7  	accuracy: 97.13%
美好合一2016　　　　　	real: 6.8　　	predict: 6.42 	accuracy: 97.12%
芳草碧连天　　　　　　　　	real: 7.5　　	predict: 7.08 	accuracy: 97.1%
皆大欢喜　　　　　　　　　	real: 6.6　　	predict: 6.22 	accuracy: 97.07%
鬼马校园　　　　　　　　　	real: 6.7　　	predict: 6.32 	accuracy: 97.06%
芝士火腿　　　　　　　　　	real: 6.5　　	predict: 6.13 	accuracy: 97.05%
泪王子　　　　　　　　　　	real: 6.4　　	predict: 6.8  	accuracy: 96.99%
停不了的爱　　　　　　　　	real: 6.3　　	predict: 6.69 	accuracy: 96.97%
赌圣3：无名小子　　　　　	real: 6.0　　	predict: 5.64 	accuracy: 96.93%
无问题　　　　　　　　　　	real: 5.4　　	predict: 5.74 	accuracy: 96.92%
捉鬼有限公司　　　　　　　	real: 6.0　　	predict: 5.64 	accuracy: 96.92%
爱情敏感地带　　　　　　　	real: 5.3　　	predict: 5.64 	accuracy: 96.88%
鬼马飞人　　　　　　　　　	real: 6.2　　	predict: 5.82 	accuracy: 96.88%
精装追女仔2004　　　　	real: 6.2　　	predict: 5.82 	accuracy: 96.87%
野·良犬　　　　　　　　　	real: 7.3　　	predict: 6.85 	accuracy: 96.82%
小男人周记之吾家有喜　　　	real: 5.7　　	predict: 6.08 	accuracy: 96.81%
一千零一夜之梦中人　　　　	real: 6.4　　	predict: 6.82 	accuracy: 96.81%
再见王老五　　　　　　　　	real: 7.1　　	predict: 6.65 	accuracy: 96.75%
大哥大续集　　　　　　　　	real: 6.9　　	predict: 6.46 	accuracy: 96.74%
追鬼七雄　　　　　　　　　	real: 6.3　　	predict: 5.9  	accuracy: 96.73%
群莺乱舞　　　　　　　　　	real: 6.8　　	predict: 6.37 	accuracy: 96.71%
家有喜事　　　　　　　　　	real: 8.3　　	predict: 7.77 	accuracy: 96.71%
黑心鬼　　　　　　　　　　	real: 6.4　　	predict: 5.99 	accuracy: 96.7%
艳阳天　　　　　　　　　　	real: 6.2　　	predict: 6.62 	accuracy: 96.7%
失眠　　　　　　　　　　　	real: 6.1　　	predict: 5.7  	accuracy: 96.63%
无间道(正序版)　　　　　	real: 8.9　　	predict: 8.32 	accuracy: 96.63%
万人迷　　　　　　　　　　	real: 5.4　　	predict: 5.78 	accuracy: 96.59%
梦中人　　　　　　　　　　	real: 6.3　　	predict: 6.75 	accuracy: 96.58%
住在十字架里的母亲　　　　	real: 7.6　　	predict: 7.09 	accuracy: 96.55%
去年冬天　　　　　　　　　	real: 8.0　　	predict: 7.46 	accuracy: 96.54%
小爸爸的天空　　　　　　　	real: 7.1　　	predict: 6.62 	accuracy: 96.53%
无限复活　　　　　　　　　	real: 6.9　　	predict: 6.43 	accuracy: 96.51%
每天吓你八小时　　　　　　	real: 5.0　　	predict: 5.36 	accuracy: 96.5%
光阴的故事　　　　　　　　	real: 7.7　　	predict: 7.18 	accuracy: 96.48%
古惑大律师　　　　　　　　	real: 6.8　　	predict: 7.3  	accuracy: 96.48%
我对你有感觉　　　　　　　	real: 6.5　　	predict: 6.98 	accuracy: 96.46%
女人本色　　　　　　　　　	real: 6.1　　	predict: 6.55 	accuracy: 96.45%
逃学英雄传　　　　　　　　	real: 6.3　　	predict: 5.86 	accuracy: 96.42%
整蛊王　　　　　　　　　　	real: 6.2　　	predict: 6.67 	accuracy: 96.38%
美少年之恋　　　　　　　　	real: 7.5　　	predict: 6.98 	accuracy: 96.38%
小楼残梦　　　　　　　　　	real: 7.7　　	predict: 7.16 	accuracy: 96.37%
错点鸳鸯　　　　　　　　　	real: 6.9　　	predict: 7.43 	accuracy: 96.33%
阴阳爱　　　　　　　　　　	real: 6.2　　	predict: 6.68 	accuracy: 96.26%
美好2014　　　　　　　	real: 7.0　　	predict: 6.49 	accuracy: 96.24%
雀圣　　　　　　　　　　　	real: 5.8　　	predict: 5.37 	accuracy: 96.17%
12金鸭　　　　　　　　　	real: 5.2　　	predict: 5.61 	accuracy: 96.17%
呷醋大丈夫　　　　　　　　	real: 6.3　　	predict: 5.84 	accuracy: 96.17%
赌圣2：街头赌圣　　　　　	real: 6.0　　	predict: 6.48 	accuracy: 96.17%
点指兵兵　　　　　　　　　	real: 7.3　　	predict: 6.76 	accuracy: 96.17%
追女仔95之绮梦　　　　　	real: 6.5　　	predict: 6.02 	accuracy: 96.16%
至尊无上　　　　　　　　　	real: 7.2　　	predict: 6.67 	accuracy: 96.15%
求爱敢死队　　　　　　　　	real: 6.2　　	predict: 6.7  	accuracy: 96.13%
佳人有约　　　　　　　　　	real: 6.3　　	predict: 5.83 	accuracy: 96.11%
靓足100分　　　　　　　	real: 6.1　　	predict: 5.64 	accuracy: 96.1%
六楼后座　　　　　　　　　	real: 7.4　　	predict: 6.84 	accuracy: 96.07%
生化寿尸　　　　　　　　　	real: 6.6　　	predict: 6.1  	accuracy: 96.06%
美女食神　　　　　　　　　	real: 4.8　　	predict: 5.2  	accuracy: 96.03%
神勇双妹唛　　　　　　　　	real: 6.3　　	predict: 5.81 	accuracy: 95.97%
乱世超人　　　　　　　　　	real: 6.2　　	predict: 5.72 	accuracy: 95.97%
何方神圣　　　　　　　　　	real: 6.2　　	predict: 5.72 	accuracy: 95.93%
江城夏日　　　　　　　　　	real: 6.3　　	predict: 5.81 	accuracy: 95.92%
回转寿尸　　　　　　　　　	real: 6.5　　	predict: 5.99 	accuracy: 95.91%
黑蜥蜴　　　　　　　　　　	real: 6.3　　	predict: 5.8  	accuracy: 95.9%
恋人絮语　　　　　　　　　	real: 6.0　　	predict: 6.51 	accuracy: 95.9%
黑白战场　　　　　　　　　	real: 6.1　　	predict: 6.62 	accuracy: 95.89%
菜鸟　　　　　　　　　　　	real: 6.1　　	predict: 6.62 	accuracy: 95.89%
龙虎戏凤　　　　　　　　　	real: 5.9　　	predict: 5.43 	accuracy: 95.89%
广岛廿八　　　　　　　　　	real: 6.8　　	predict: 7.38 	accuracy: 95.88%
头七　　　　　　　　　　　	real: 6.2　　	predict: 5.7  	accuracy: 95.82%
月牙儿　　　　　　　　　　	real: 7.9　　	predict: 7.26 	accuracy: 95.79%
小英雄大闹唐人街　　　　　	real: 6.1　　	predict: 6.64 	accuracy: 95.78%
发达秘笈　　　　　　　　　	real: 7.1　　	predict: 6.51 	accuracy: 95.67%
运财智多星　　　　　　　　	real: 6.5　　	predict: 5.96 	accuracy: 95.63%
天长地久　　　　　　　　　	real: 7.4　　	predict: 6.78 	accuracy: 95.62%
异度空间　　　　　　　　　	real: 7.4　　	predict: 6.77 	accuracy: 95.58%
开心鬼上错身　　　　　　　	real: 6.8　　	predict: 6.22 	accuracy: 95.58%
阿德晒命　　　　　　　　　	real: 7.0　　	predict: 6.41 	accuracy: 95.56%
撞邪先生　　　　　　　　　	real: 6.2　　	predict: 5.66 	accuracy: 95.43%
侠盗正传　　　　　　　　　	real: 6.2　　	predict: 6.79 	accuracy: 95.43%
中环英雄　　　　　　　　　	real: 6.3　　	predict: 5.75 	accuracy: 95.4%
龙城正月　　　　　　　　　	real: 6.6　　	predict: 6.02 	accuracy: 95.38%
合家欢　　　　　　　　　　	real: 7.4　　	predict: 6.74 	accuracy: 95.32%
特警90　　　　　　　　　	real: 5.8　　	predict: 6.37 	accuracy: 95.29%
淫种　　　　　　　　　　　	real: 6.2　　	predict: 5.64 	accuracy: 95.28%
人生得意衰尽欢　　　　　　	real: 6.2　　	predict: 5.64 	accuracy: 95.26%
手足情　　　　　　　　　　	real: 6.2　　	predict: 6.82 	accuracy: 95.26%
喝采　　　　　　　　　　　	real: 7.4　　	predict: 6.73 	accuracy: 95.26%
热血青年　　　　　　　　　	real: 6.5　　	predict: 5.91 	accuracy: 95.22%
百分百感觉　　　　　　　　	real: 6.4　　	predict: 7.05 	accuracy: 95.15%
香港有个荷里活　　　　　　	real: 7.3　　	predict: 6.62 	accuracy: 95.14%
大头仔　　　　　　　　　　	real: 7.5　　	predict: 6.8  	accuracy: 95.12%
画皮　　　　　　　　　　　	real: 6.9　　	predict: 6.26 	accuracy: 95.12%
九个女仔一只鬼　　　　　　	real: 6.3　　	predict: 5.71 	accuracy: 95.07%
