白蛇：缘起　　　　　　　　　　　　　	real: 1.91%　　　　	predict: 4.37%　　　　	accuracy: 60.77%
猛虫过江　　　　　　　　　　　　　　	real: 2.69%　　　　	predict: 1.15%　　　　	accuracy: 60.0%
地久天长　　　　　　　　　　　　　　	real: 0.94%　　　　	predict: 2.19%　　　　	accuracy: 59.9%
狗眼看人心　　　　　　　　　　　　　	real: 0.37%　　　　	predict: 0.87%　　　　	accuracy: 59.86%
下一任：前任　　　　　　　　　　　　	real: 2.93%　　　　	predict: 1.25%　　　　	accuracy: 59.59%
三重威胁之跨国大营救　　　　　　　　	real: 0.24%　　　　	predict: 0.58%　　　　	accuracy: 58.75%
人间·喜剧　　　　　　　　　　　　　	real: 2.48%　　　　	predict: 1.02%　　　　	accuracy: 58.25%
英雄本色2018　　　　　　　　　　	real: 2.39%　　　　	predict: 0.98%　　　　	accuracy: 58.07%
识色，幸也　　　　　　　　　　　　　	real: 0.06%　　　　	predict: 0.15%　　　　	accuracy: 57.78%
祖宗十九代　　　　　　　　　　　　　	real: 1.82%　　　　	predict: 0.74%　　　　	accuracy: 57.67%
欧洲攻略　　　　　　　　　　　　　　	real: 3.49%　　　　	predict: 1.41%　　　　	accuracy: 57.57%
追龙Ⅱ　　　　　　　　　　　　　　　	real: 5.04%　　　　	predict: 2.03%　　　　	accuracy: 57.51%
不成问题的问题　　　　　　　　　　　	real: 0.48%　　　　	predict: 1.22%　　　　	accuracy: 56.11%
沉默的证人　　　　　　　　　　　　　	real: 3.84%　　　　	predict: 1.48%　　　　	accuracy: 55.6%
绿毛怪格林奇　　　　　　　　　　　　	real: 0.62%　　　　	predict: 1.6%　　　　　	accuracy: 55.56%
最好的我们　　　　　　　　　　　　　	real: 5.93%　　　　	predict: 2.27%　　　　	accuracy: 55.32%
冒牌监护人之寻宝闹翻天　　　　　　　	real: 0.36%　　　　	predict: 0.94%　　　　	accuracy: 54.88%
道高一丈　　　　　　　　　　　　　　	real: 0.57%　　　　	predict: 1.5%　　　　　	accuracy: 54.81%
逗爱熊仁镇　　　　　　　　　　　　　	real: 0.36%　　　　	predict: 0.97%　　　　	accuracy: 54.52%
狂兽　　　　　　　　　　　　　　　　	real: 3.35%　　　　	predict: 1.24%　　　　	accuracy: 54.07%
相爱相亲　　　　　　　　　　　　　　	real: 0.59%　　　　	predict: 1.59%　　　　	accuracy: 53.75%
中国蓝盔　　　　　　　　　　　　　　	real: 0.49%　　　　	predict: 1.37%　　　　	accuracy: 52.91%
我是你妈　　　　　　　　　　　　　　	real: 0.29%　　　　	predict: 0.83%　　　　	accuracy: 52.24%
英雄本色　　　　　　　　　　　　　　	real: 3.78%　　　　	predict: 1.32%　　　　	accuracy: 51.9%
宇宙有爱浪漫同游　　　　　　　　　　	real: 0.03%　　　　	predict: 0.09%　　　　	accuracy: 51.82%
回到过去拥抱你　　　　　　　　　　　	real: 0.3%　　　　　	predict: 0.86%　　　　	accuracy: 51.72%
吃货宇宙　　　　　　　　　　　　　　	real: 0.17%　　　　	predict: 0.48%　　　　	accuracy: 51.56%
降魔传　　　　　　　　　　　　　　　	real: 4.25%　　　　	predict: 1.45%　　　　	accuracy: 50.92%
金珠玛米　　　　　　　　　　　　　　	real: 0.17%　　　　	predict: 0.51%　　　　	accuracy: 49.91%
爸，我一定行的　　　　　　　　　　　	real: 0.82%　　　　	predict: 2.47%　　　　	accuracy: 49.73%
阳台上　　　　　　　　　　　　　　　	real: 0.23%　　　　	predict: 0.68%　　　　	accuracy: 49.64%
寻找罗麦　　　　　　　　　　　　　　	real: 0.2%　　　　　	predict: 0.61%　　　　	accuracy: 48.96%
使徒行者2：谍影行动　　　　　　　　	real: 8.29%　　　　	predict: 2.62%　　　　	accuracy: 47.99%
